KEGG	Compound	Enzyme	Enzyme Name	Gene Name	Entrez
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP2A7	1549
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP3A7	1551
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP2A13	1553
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP2C8	1558
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP2C18	1562
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP2D7	1564
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP2D6	1565
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP2F1	1572
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP2J2	1573
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP3A5	1577
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP4B1	1580
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP4Z1	199974
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP4X1	260293
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP2S1	29785
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP4F11	57834
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP3A43	64816
C00001	H2O	1.14.14.1	unspecific monooxygenase	CYP4F12	66002
C00001	H2O	1.14.14.14	aromatase	CYP19A1	1588
C00001	H2O	1.14.14.16	steroid 21-monooxygenase	CYP21A2	1589
C00001	H2O	1.14.14.17	squalene monooxygenase	SQLE	6713
C00001	H2O	1.14.14.18	heme oxygenase (biliverdin-producing)	HMOX1	3162
C00001	H2O	1.14.14.18	heme oxygenase (biliverdin-producing)	HMOX2	3163
C00001	H2O	1.14.14.19	steroid 17alpha-monooxygenase	CYP17A1	1586
C00001	H2O	1.14.14.23	cholesterol 7alpha-monooxygenase	CYP7A1	1581
C00001	H2O	1.14.14.24	vitamin D 25-hydroxylase	CYP2R1	120227
C00001	H2O	1.14.14.25	cholesterol 24-hydroxylase	CYP46A1	10858
C00001	H2O	1.14.14.26	24-hydroxycholesterol 7alpha-hydroxylase	CYP39A1	51302
C00001	H2O	1.14.14.29	25/26-hydroxycholesterol 7alpha-hydroxylase	CYP7B1	9420
C00001	H2O	1.14.14.32	17alpha-hydroxyprogesterone deacetylase	CYP17A1	1586
C00001	H2O	1.14.14.51	(S)-limonene 6-monooxygenase	CYP2C19	1557
C00001	H2O	1.14.14.51	(S)-limonene 6-monooxygenase	CYP2C9	1559
C00001	H2O	1.14.14.52	(S)-limonene 7-monooxygenase	CYP2C19	1557
C00001	H2O	1.14.14.52	(S)-limonene 7-monooxygenase	CYP2C9	1559
C00001	H2O	1.14.14.53	(R)-limonene 6-monooxygenase	CYP2C19	1557
C00001	H2O	1.14.14.53	(R)-limonene 6-monooxygenase	CYP2C9	1559
C00001	H2O	1.14.14.55	quinine 3-monooxygenase	CYP3A4	1576
C00001	H2O	1.14.14.56	1,8-cineole 2-exo-monooxygenase	CYP3A4	1576
C00001	H2O	1.14.14.57	taurochenodeoxycholate 6alpha-hydroxylase	CYP3A4	1576
C00001	H2O	1.14.14.73	albendazole monooxygenase (sulfoxide-forming)	CYP2J2	1573
C00001	H2O	1.14.14.73	albendazole monooxygenase (sulfoxide-forming)	CYP3A4	1576
C00001	H2O	1.14.14.74	albendazole monooxygenase (hydroxylating)	CYP2J2	1573
C00001	H2O	1.14.14.75	fenbendazole monooxygenase (4'-hydroxylating)	CYP2C19	1557
C00001	H2O	1.14.14.75	fenbendazole monooxygenase (4'-hydroxylating)	CYP2J2	1573
C00001	H2O	1.14.14.78	phylloquinone omega-hydroxylase	CYP4F3	4051
C00001	H2O	1.14.14.78	phylloquinone omega-hydroxylase	CYP4F11	57834
C00001	H2O	1.14.14.78	phylloquinone omega-hydroxylase	CYP4F2	8529
C00001	H2O	1.14.14.79	docosahexaenoic acid omega-hydroxylase	CYP4V2	285440
C00001	H2O	1.14.14.79	docosahexaenoic acid omega-hydroxylase	CYP4F3	4051
C00001	H2O	1.14.14.79	docosahexaenoic acid omega-hydroxylase	CYP4F2	8529
C00001	H2O	1.14.14.80	long-chain fatty acid omega-monooxygenase	CYP4A11	1579
C00001	H2O	1.14.14.80	long-chain fatty acid omega-monooxygenase	CYP4A22	284541
C00001	H2O	1.14.14.94	leukotriene-B4 20-monooxygenase	CYP4F3	4051
C00001	H2O	1.14.14.94	leukotriene-B4 20-monooxygenase	CYP4F2	8529
C00001	H2O	1.14.14.139	5beta-cholestane-3alpha,7alpha-diol 12alpha-hydroxylase	CYP8B1	1582
C00001	H2O	1.14.14.154	sterol 14alpha-demethylase	CYP51A1	1595
C00001	H2O	1.14.15.4	steroid 11beta-monooxygenase	CYP11B1	1584
C00001	H2O	1.14.15.4	steroid 11beta-monooxygenase	CYP11B2	1585
C00001	H2O	1.14.15.5	corticosterone 18-monooxygenase	CYP11B2	1585
C00001	H2O	1.14.15.6	cholesterol monooxygenase (side-chain-cleaving)	CYP11A1	1583
C00001	H2O	1.14.15.15	cholestanetriol 26-monooxygenase	CYP27A1	1593
C00001	H2O	1.14.15.16	vitamin D3 24-hydroxylase	CYP24A1	1591
C00001	H2O	1.14.15.18	calcidiol 1-monooxygenase	CYP27B1	1594
C00001	H2O	1.14.15.36	sterol 14alpha-demethylase (ferredoxin)	CYP51A1	1595
C00001	H2O	1.14.16.1	phenylalanine 4-monooxygenase	PAH	5053
C00001	H2O	1.14.16.2	tyrosine 3-monooxygenase	TH	7054
C00001	H2O	1.14.16.4	tryptophan 5-monooxygenase	TPH2	121278
C00001	H2O	1.14.16.4	tryptophan 5-monooxygenase	TPH1	7166
C00001	H2O	1.14.16.5	alkylglycerol monooxygenase	AGMO	392636
C00001	H2O	1.14.17.1	dopamine beta-monooxygenase	DBH	1621
C00001	H2O	1.14.17.3	peptidylglycine monooxygenase	PAM	5066
C00001	H2O	1.14.18.1	tyrosinase	TYR	7299
C00001	H2O	1.14.18.5	sphingolipid C4-monooxygenase	DEGS2	123099
C00001	H2O	1.14.18.5	sphingolipid C4-monooxygenase	DEGS1	8560
C00001	H2O	1.14.18.6	4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase	FA2H	79152
C00001	H2O	1.14.18.8	7alpha-hydroxycholest-4-en-3-one 12alpha-hydroxylase	CYP8B1	1582
C00001	H2O	1.14.18.9	4alpha-methylsterol monooxygenase	MSMO1	6307
C00001	H2O	1.14.19.1	stearoyl-CoA 9-desaturase	SCD	6319
C00001	H2O	1.14.19.1	stearoyl-CoA 9-desaturase	SCD5	79966
C00001	H2O	1.14.19.3	acyl-CoA 6-desaturase	FADS2	9415
C00001	H2O	1.14.19.17	sphingolipid 4-desaturase	DEGS2	123099
C00001	H2O	1.14.19.17	sphingolipid 4-desaturase	DEGS1	8560
C00001	H2O	1.14.19.20	Delta7-sterol 5(6)-desaturase	SC5D	6309
C00001	H2O	1.14.19.44	acyl-CoA (8-3)-desaturase	FADS1	3992
C00001	H2O	1.14.19.53	all-trans-retinol 3,4-desaturase	CYP27C1	339761
C00001	H2O	1.14.99.1	prostaglandin-endoperoxide synthase	PTGS1	5742
C00001	H2O	1.14.99.1	prostaglandin-endoperoxide synthase	PTGS2	5743
C00001	H2O	1.14.99.29	deoxyhypusine monooxygenase	DOHH	83475
C00001	H2O	1.14.99.38	cholesterol 25-hydroxylase	CH25H	9023
C00001	H2O	1.14.99.60	3-demethoxyubiquinol 3-hydroxylase	COQ7	10229
C00001	H2O	1.14.99.66	[histone H3]-N6,N6-dimethyl-L-lysine4 FAD-dependent demethylase	KDM1A	23028
C00001	H2O	1.16.3.1	ferroxidase	CP	1356
C00001	H2O	1.16.3.1	ferroxidase	FXN	2395
C00001	H2O	1.16.3.1	ferroxidase	HEPH	9843
C00001	H2O	1.17.1.4	xanthine dehydrogenase	XDH	7498
C00001	H2O	1.17.3.2	xanthine oxidase	XDH	7498
C00001	H2O	1.17.4.1	ribonucleoside-diphosphate reductase	RRM2B	50484
C00001	H2O	1.17.4.1	ribonucleoside-diphosphate reductase	RRM1	6240
C00001	H2O	1.17.4.1	ribonucleoside-diphosphate reductase	RRM2	6241
C00001	H2O	1.17.4.4	vitamin-K-epoxide reductase (warfarin-sensitive)	VKORC1L1	154807
C00001	H2O	1.17.4.4	vitamin-K-epoxide reductase (warfarin-sensitive)	VKORC1	79001
C00001	H2O	1.17.99.3	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase	ACOX2	8309
C00001	H2O	2.1.2.1	glycine hydroxymethyltransferase	SHMT1	6470
C00001	H2O	2.1.2.1	glycine hydroxymethyltransferase	SHMT2	6472
C00001	H2O	2.1.2.2	phosphoribosylglycinamide formyltransferase	GART	2618
C00001	H2O	2.1.2.10	aminomethyltransferase	AMT	275
C00001	H2O	2.3.1.85	fatty-acid synthase system	FASN	2194
C00001	H2O	2.3.1.286	protein acetyllysine N-acetyltransferase	SIRT2	22933
C00001	H2O	2.3.1.286	protein acetyllysine N-acetyltransferase	SIRT5	23408
C00001	H2O	2.3.1.286	protein acetyllysine N-acetyltransferase	SIRT4	23409
C00001	H2O	2.3.1.286	protein acetyllysine N-acetyltransferase	SIRT3	23410
C00001	H2O	2.3.1.286	protein acetyllysine N-acetyltransferase	SIRT1	23411
C00001	H2O	2.3.1.286	protein acetyllysine N-acetyltransferase	SIRT7	51547
C00001	H2O	2.3.1.286	protein acetyllysine N-acetyltransferase	SIRT6	51548
C00001	H2O	2.3.2.2	gamma-glutamyltransferase	GGT6	124975
C00001	H2O	2.3.2.2	gamma-glutamyltransferase	GGT1	2678
C00001	H2O	2.3.2.2	gamma-glutamyltransferase	GGT7	2686
C00001	H2O	2.3.2.2	gamma-glutamyltransferase	GGT5	2687
C00001	H2O	2.3.3.1	citrate (Si)-synthase	CS	1431
C00001	H2O	2.3.3.10	hydroxymethylglutaryl-CoA synthase	HMGCS1	3157
C00001	H2O	2.3.3.10	hydroxymethylglutaryl-CoA synthase	HMGCS2	3158
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT2B11	10720
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT2A1	10941
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT2B28	54490
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT1A10	54575
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT1A8	54576
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT1A7	54577
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT1A6	54578
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT1A5	54579
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT1A9	54600
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT1A4	54657
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT1A1	54658
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT1A3	54659
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT2A2	574537
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT2B4	7363
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT2B7	7364
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT2B10	7365
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT2B15	7366
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT2B17	7367
C00001	H2O	2.4.1.17	glucuronosyltransferase	UGT2A3	79799
C00001	H2O	2.4.2.14	amidophosphoribosyltransferase	PPAT	5471
C00001	H2O	2.5.1.6	methionine adenosyltransferase	MAT2B	27430
C00001	H2O	2.5.1.6	methionine adenosyltransferase	MAT1A	4143
C00001	H2O	2.5.1.6	methionine adenosyltransferase	MAT2A	4144
C00001	H2O	2.5.1.18	glutathione transferase	GSTO2	119391
C00001	H2O	2.5.1.18	glutathione transferase	GSTA5	221357
C00001	H2O	2.5.1.18	glutathione transferase	HPGDS	27306
C00001	H2O	2.5.1.18	glutathione transferase	GSTA1	2938
C00001	H2O	2.5.1.18	glutathione transferase	GSTA2	2939
C00001	H2O	2.5.1.18	glutathione transferase	GSTA3	2940
C00001	H2O	2.5.1.18	glutathione transferase	GSTA4	2941
C00001	H2O	2.5.1.18	glutathione transferase	GSTM1	2944
C00001	H2O	2.5.1.18	glutathione transferase	GSTM2	2946
C00001	H2O	2.5.1.18	glutathione transferase	GSTM3	2947
C00001	H2O	2.5.1.18	glutathione transferase	GSTM4	2948
C00001	H2O	2.5.1.18	glutathione transferase	GSTM5	2949
C00001	H2O	2.5.1.18	glutathione transferase	GSTP1	2950
C00001	H2O	2.5.1.18	glutathione transferase	GSTT1	2952
C00001	H2O	2.5.1.18	glutathione transferase	GSTT2	2953
C00001	H2O	2.5.1.18	glutathione transferase	GSTK1	373156
C00001	H2O	2.5.1.18	glutathione transferase	MGST1	4257
C00001	H2O	2.5.1.18	glutathione transferase	MGST2	4258
C00001	H2O	2.5.1.18	glutathione transferase	MGST3	4259
C00001	H2O	2.5.1.18	glutathione transferase	GSTT2B	653689
C00001	H2O	2.5.1.18	glutathione transferase	GSTO1	9446
C00001	H2O	2.5.1.56	N-acetylneuraminate synthase	NANS	54187
C00001	H2O	2.5.1.57	N-acylneuraminate-9-phosphate synthase	NANS	54187
C00001	H2O	2.5.1.61	hydroxymethylbilane synthase	HMBS	3145
C00001	H2O	2.5.1.132	3-deoxy-D-glycero-D-galacto-nonulopyranosonate 9-phosphate synthase	NANS	54187
C00001	H2O	2.5.1.141	heme o synthase	COX10	1352
C00001	H2O	2.6.1.13	ornithine aminotransferase	OAT	4942
C00001	H2O	2.7.9.3	selenide, water dikinase	SEPHS2	22928
C00001	H2O	2.7.9.3	selenide, water dikinase	SEPHS1	22929
C00001	H2O	2.8.1.9	molybdenum cofactor sulfurtransferase	MOCOS	55034
C00001	H2O	2.9.1.2	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase	SEPSECS	51091
C00001	H2O	2.10.1.1	molybdopterin molybdotransferase	GPHN	10243
C00001	H2O	3.1.1.1	carboxylesterase	CES1	1066
C00001	H2O	3.1.1.1	carboxylesterase	CES5A	221223
C00001	H2O	3.1.1.1	carboxylesterase	CES3	23491
C00001	H2O	3.1.1.1	carboxylesterase	CES2	8824
C00001	H2O	3.1.1.2	arylesterase	PON1	5444
C00001	H2O	3.1.1.2	arylesterase	PON2	5445
C00001	H2O	3.1.1.2	arylesterase	PON3	5446
C00001	H2O	3.1.1.3	triacylglycerol lipase	CEL	1056
C00001	H2O	3.1.1.3	triacylglycerol lipase	PNLIPRP3	119548
C00001	H2O	3.1.1.3	triacylglycerol lipase	AADAC	13
C00001	H2O	3.1.1.3	triacylglycerol lipase	LIPC	3990
C00001	H2O	3.1.1.3	triacylglycerol lipase	PNLIP	5406
C00001	H2O	3.1.1.3	triacylglycerol lipase	PNLIPRP1	5407
C00001	H2O	3.1.1.3	triacylglycerol lipase	PNLIPRP2	5408
C00001	H2O	3.1.1.3	triacylglycerol lipase	PNPLA2	57104
C00001	H2O	3.1.1.3	triacylglycerol lipase	PNPLA3	80339
C00001	H2O	3.1.1.3	triacylglycerol lipase	LIPF	8513
C00001	H2O	3.1.1.3	triacylglycerol lipase	LIPG	9388
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G4B	100137049
C00001	H2O	3.1.1.4	phospholipase A2	PLAAT3	11145
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G4E	123745
C00001	H2O	3.1.1.4	phospholipase A2	PLB1	151056
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G4F	255189
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G2D	26279
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G4D	283748
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G2E	30814
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G2C	391013
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G3	50487
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G1B	5319
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G2A	5320
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G4A	5321
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G5	5322
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G2F	64600
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G12A	81579
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G6	8398
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G10	8399
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G12B	84647
C00001	H2O	3.1.1.4	phospholipase A2	PLA2G4C	8605
C00001	H2O	3.1.1.4	phospholipase A2	JMJD7-PLA2G4B	8681
C00001	H2O	3.1.1.5	lysophospholipase	LYPLA1	10434
C00001	H2O	3.1.1.5	lysophospholipase	PNPLA6	10908
C00001	H2O	3.1.1.5	lysophospholipase	LYPLA2	11313
C00001	H2O	3.1.1.5	lysophospholipase	CLC	1178
C00001	H2O	3.1.1.5	lysophospholipase	PLB1	151056
C00001	H2O	3.1.1.5	lysophospholipase	PLA2G15	23659
C00001	H2O	3.1.1.5	lysophospholipase	ASPG	374569
C00001	H2O	3.1.1.5	lysophospholipase	PNPLA7	375775
C00001	H2O	3.1.1.7	acetylcholinesterase	ACHE	43
C00001	H2O	3.1.1.8	cholinesterase	BCHE	590
C00001	H2O	3.1.1.13	sterol esterase	CEL	1056
C00001	H2O	3.1.1.13	sterol esterase	LIPA	3988
C00001	H2O	3.1.1.17	gluconolactonase	RGN	9104
C00001	H2O	3.1.1.23	acylglycerol lipase	MGLL	11343
C00001	H2O	3.1.1.23	acylglycerol lipase	ABHD12	26090
C00001	H2O	3.1.1.23	acylglycerol lipase	ABHD6	57406
C00001	H2O	3.1.1.29	aminoacyl-tRNA hydrolase	PTRH1	138428
C00001	H2O	3.1.1.29	aminoacyl-tRNA hydrolase	MRPL58	3396
C00001	H2O	3.1.1.29	aminoacyl-tRNA hydrolase	PTRH2	51651
C00001	H2O	3.1.1.31	6-phosphogluconolactonase	PGLS	25796
C00001	H2O	3.1.1.31	6-phosphogluconolactonase	H6PD	9563
C00001	H2O	3.1.1.32	phospholipase A1	PLAAT3	11145
C00001	H2O	3.1.1.34	lipoprotein lipase	LPL	4023
C00001	H2O	3.1.1.45	carboxymethylenebutenolidase	CMBL	134147
C00001	H2O	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase	ASPG	374569
C00001	H2O	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase	PAFAH1B2	5049
C00001	H2O	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase	PAFAH1B3	5050
C00001	H2O	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase	PAFAH2	5051
C00001	H2O	3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase	PLA2G7	7941
C00001	H2O	3.1.1.53	sialate O-acetylesterase	SIAE	54414
C00001	H2O	3.1.1.56	methylumbelliferyl-acetate deacetylase	CES2	8824
C00001	H2O	3.1.1.64	retinoid isomerohydrolase	RPE65	6121
C00001	H2O	3.1.1.77	acyloxyacyl hydrolase	AOAH	313
